sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.06,1,0.0581309,0.307347,-22.0819,12.4573,-0.33864,-0.12921,0.093,44.64,2.35867,0.000596699,-0.000930714,-0.0463917,0.0604414,0.0128585,0.0390785,-0.00916313,0.0139797,0.00585894,0.0147254,-0.0132828,-0.00535048,0.00660767,0.00145677,-0.00459299,-0.0086907,-0.00559305,0.0107633,0.00636575,-0.0100028,0.00307001
1,1.06,2,-20.3602,20.7313,-42.5002,32.8813,-0.40107,-0.19181,0.11,52.8,1.08621,-0.000450155,-0.00207914,-0.0383001,0.0864526,0.0149487,0.0285678,-0.0158727,0.0227349,-0.000805556,0.0138793,-0.0100989,-0.00273373,0.00544752,0.00341199,-0.00881261,-0.0111489,-0.0067566,0.0116089,0.00453643,-0.00974198,0.00436619
1,1.06,3,-20.373,-20.1131,-42.513,-7.96305,-0.3994,-0.06855,0.123,59.04,0.0755752,0.00237611,-0.00288033,-0.0877456,0.0715402,0.0315343,0.0268639,0.000214281,0.022769,0.0136826,0.0159193,-0.0131609,-0.00764586,0.00617224,0.00408584,-0.00878924,-0.00621921,-0.00618926,0.0116707,0.00367372,-0.00871545,0.00324653
1,1.06,4,20.4764,-20.1106,-1.66355,-7.96063,-0.27598,-0.06689,0.093,44.64,1.28391,0.00100367,0.000326544,-0.0602355,0.044338,0.0102783,0.0468014,0.00385961,0.00912317,0.00976699,0.0139131,-0.0168064,-0.00573661,0.00424357,0.00314676,-0.00532616,-0.0081526,-0.00643973,0.00975765,0.00535728,-0.00919275,0.00447176
1,1.06,5,20.4885,20.7279,-1.6515,32.8779,-0.27714,-0.19061,0.076,36.48,1.68566,-0.00180035,0.000293116,0.0149423,0.050304,-0.00535013,0.0403991,-0.00825506,0.00983968,-0.00205189,0.0139791,-0.0147358,-0.0040903,0.00412758,0.00391186,-0.00610981,-0.00826414,-0.00484202,0.0116428,0.00466235,-0.0125559,0.00467733
1,1.131,1,0.0580607,0.307375,-22.0819,12.4574,-0.33864,-0.12921,0.025,48.75,0.569359,0.000294115,-0.000312389,-0.0160194,0.0143782,0.00263633,0.00955781,-0.00241447,0.00343699,0.00144015,0.00361984,-0.00326981,-0.00131723,0.00162654,0.000358559,-0.00113043,-0.0021392,-0.00137673,0.00264945,0.00156695,-0.00246222,0.000755692
1,1.131,2,-20.3603,20.7314,-42.5003,32.8814,-0.40107,-0.19181,0.028,54.6,0.256409,7.9e-05,-0.00053915,-0.014403,0.0203938,0.00299932,0.00693886,-0.00409974,0.00558794,-0.000200169,0.00341167,-0.00248618,-0.000673235,0.00134097,0.000839847,-0.00216914,-0.0027443,-0.00166315,0.00285763,0.00111667,-0.00239807,0.00107479
1,1.131,3,-20.3731,-20.1131,-42.5131,-7.96309,-0.3994,-0.06855,0.033,64.35,0.0094525,0.000734565,-0.000842171,-0.0266402,0.017289,0.00690462,0.00658003,-0.000136957,0.00560152,0.00336243,0.00391396,-0.00323993,-0.00188216,0.00151932,0.0010057,-0.00216335,-0.00153085,-0.00152349,0.0028728,0.000904292,-0.00214535,0.000799153
1,1.131,4,20.4764,-20.1107,-1.66356,-7.96067,-0.27598,-0.06689,0.025,48.75,0.303992,0.000328982,3e-06,-0.0192076,0.0106979,0.00214631,0.0114884,0.000821992,0.00224421,0.00240255,0.0034199,-0.00413712,-0.00141216,0.00104457,0.000774579,-0.00131095,-0.00200676,-0.00158515,0.00240187,0.00131871,-0.00226283,0.00110074
1,1.131,5,20.4885,20.728,-1.65151,32.878,-0.27714,-0.19061,0.018,35.1,0.401875,-0.00028016,6.9e-05,-0.000603184,0.0117906,-0.00152156,0.00985425,-0.00216094,0.00241845,-0.000504101,0.00343595,-0.00362736,-0.00100707,0.00101603,0.000962886,-0.00150384,-0.00203419,-0.00119187,0.00286594,0.00114764,-0.00309069,0.00115134
