sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
2,1,1,0.211713,-4.61443,-22.0783,-41.6444,-0.0678,0.10972,0.11,110,-0.384522,-0.000378618,-0.00136647,-0.0946994,-0.0203468,-0.0532996,0.00623199,-0.02289,-0.0283904,-0.00212664,-0.00277794,0.00280829,0.0020912,0.000832616,0.00487507,0.00556298,0.000330306,0.00571821,-0.000400046,-0.0043052,-0.00158214,0.00200769
2,1,2,-19.9375,15.5931,-42.2275,-21.4369,-0.13033,0.04902,0.115,115,-0.934351,-0.000929964,-0.00104674,-0.0960902,-0.0414394,-0.0489131,0.0115131,-0.0278323,-0.0209822,0.000529926,-0.00200535,0.00221378,0.000373611,0.0016933,0.00427483,0.00489574,-0.000196887,0.00579666,-0.000901221,-0.00460517,-0.000419101,0.000527487
2,1,3,-19.9625,-24.8988,-42.2525,-61.9288,-0.12943,0.16913,0.104,104,-0.265353,0.00147626,-0.0032605,-0.0921384,-0.007032,-0.0477064,-0.00284582,-0.0229877,-0.0351088,0.00397206,-0.00373799,0.000918348,0.00151328,0.000638166,0.00508761,0.00604318,-0.00107527,0.00586753,-0.000976896,-0.00510433,-0.00161317,0.00049407
2,1,4,20.3657,-24.8608,-1.92428,-61.8908,-0.00561,0.16964,0.103,103,0.552797,-0.000736617,-0.00187859,-0.0874607,-0.00934317,-0.0494398,-0.00139341,-0.0193669,-0.0359628,-0.0075003,-0.00369012,0.000825765,0.00153113,0.000067,0.00498636,0.0061949,-0.00042553,0.00548331,-0.000219478,-0.00404069,-0.00171284,0.00111379
2,1,5,20.3737,15.6332,-1.91631,-21.3968,-0.00565,0.04944,0.102,102,0.489988,-0.000631499,-0.00076608,-0.0870918,-0.0148057,-0.047386,0.0147813,-0.0219024,-0.0236285,-0.0064492,-0.00350738,0.00329667,0.00234233,0.00205872,0.00438976,0.00701505,-0.000320869,0.00536229,0.000224485,-0.00527541,-0.000605332,0.00152118
2,1.25,1,0.233845,-2.23527,-22.0562,-39.2653,-0.0678,0.10972,0.089,111.25,-0.297011,-0.000168631,-0.00121025,-0.0809066,-0.0179089,-0.0374519,0.00550749,-0.0176436,-0.0212665,-0.0015405,-0.000904126,0.000942165,0.00157593,0.000777591,0.00389881,0.00447686,0.000164139,0.00458684,-0.000301397,-0.00342425,-0.00124304,0.00161941
2,1.25,2,-19.8993,17.935,-42.1893,-19.095,-0.13033,0.04902,0.091,113.75,-0.747085,-0.000710054,-0.000869605,-0.0803986,-0.0330928,-0.0331365,0.00946244,-0.0210734,-0.0150116,0.000843777,-0.000416885,0.000528572,0.000088,0.00146891,0.00341307,0.00394694,-0.000236546,0.00467287,-0.000703548,-0.00362609,-0.000315693,0.000453912
2,1.25,3,-19.9154,-22.4692,-42.2054,-59.4992,-0.12943,0.16913,0.085,106.25,-0.184341,0.00129685,-0.00269387,-0.0790067,-0.00917773,-0.0351804,-0.00160246,-0.0170475,-0.0270387,0.00339749,-0.00149995,-0.000671928,0.000980387,0.000581428,0.00406627,0.0048593,-0.000962159,0.00471039,-0.000743884,-0.00403662,-0.00125997,0.000427567
2,1.25,4,20.3676,-22.436,-1.92236,-59.466,-0.00561,0.16964,0.085,106.25,0.460352,-0.000603471,-0.00156202,-0.0756883,-0.00949168,-0.0366617,-0.000412956,-0.0154513,-0.0276378,-0.00598352,-0.0014783,-0.000741459,0.00120367,0.000143683,0.00399296,0.00495565,-0.000447464,0.00439749,-0.00015316,-0.0032266,-0.00135438,0.000912297
2,1.25,5,20.3752,17.9703,-1.91484,-19.0597,-0.00565,0.04944,0.081,101.25,0.387022,-0.000480154,-0.000683447,-0.0734335,-0.0135765,-0.0321292,0.0120984,-0.0174762,-0.0170506,-0.00514764,-0.00163802,0.00142058,0.00186478,0.0018084,0.00351493,0.00560947,-0.000347894,0.00428373,0.000182249,-0.00420943,-0.000456677,0.00121913
