sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1,1.6,2,-20.7678,20.5507,-42.9078,32.7007,-0.13072,-0.09842,0.052,83.2,0.151462,-0.00081787,0.000210448,-0.0356782,-0.031128,0.00857453,0.00418605,-0.0224592,-0.0024945,-0.00359489,0.00139692,0.000965143,-0.00112051,0.00398736,0.00161329,0.00288212,0.000372336,-0.00280617,0.000611038,-0.00522452,0.000255314,0.00135295
1,1.6,3,-20.8059,-20.6853,-42.9459,-8.53529,-0.13003,0.02435,0.064,102.4,-0.0420725,-0.000626837,0.00103096,-0.028109,-0.042749,-0.0321405,0.00466695,-0.0206771,-0.00480684,-0.00192887,0.00133332,0.000031,-0.001261,0.00519698,0.00167855,0.00267169,0.000327857,-0.00332549,0.000666356,-0.00499683,0.000100661,0.000887862
1,1.6,4,20.4614,-20.6541,-1.67858,-8.50414,-0.0052,0.02475,0.048,76.8,-0.112466,-0.000390202,0.000389001,-0.0232757,-0.00125789,-0.0390871,0.00600707,-0.0109997,-0.00478155,-0.00313643,0.00130677,-0.000396387,-0.000721419,0.00462132,0.00240601,0.00348324,0.000565986,-0.00309557,0.000124293,-0.00467709,-0.000100047,0.00105856
1,1.6,5,20.4763,20.5722,-1.66372,32.7222,-0.00522,-0.0981,0.031,49.6,0.215875,-0.000276649,-0.000222302,-0.0291857,-0.00207299,0.000778555,0.00564264,-0.0108631,-0.00333256,-0.0027853,0.00151542,0.000413441,-0.000657346,0.00372139,0.00254589,0.00349289,-0.000011,-0.00283444,0.00043438,-0.00547827,-0.000022,0.00106003
1,1.8,1,-0.156676,-0.24723,-22.2967,11.9028,-0.06784,-0.03653,0.039,70.2,0.126224,-0.00073649,0.000035,-0.0263137,-0.0210469,-0.0123243,0.00624781,-0.0146159,-0.00422255,-0.00240143,0.00186684,0.000499519,-0.000909843,0.00371302,0.00185409,0.00293552,-0.000127631,-0.0024385,0.000568783,-0.0045045,-0.00028071,0.000488721
1,1.8,2,-20.7702,20.3368,-42.9102,32.4868,-0.13072,-0.09842,0.053,95.4,0.141399,-0.000744888,0.000214,-0.0340163,-0.0333676,0.0142203,0.00416627,-0.0199777,-0.00220358,-0.00317933,0.00124475,0.000853128,-0.000991742,0.00354419,0.00143519,0.00256291,0.000328188,-0.00249641,0.000543562,-0.00464105,0.000224277,0.00120137
1,1.8,3,-20.8092,-20.9047,-42.9492,-8.75472,-0.13003,0.02435,0.06,108,-0.0162697,-0.000542593,0.00103968,-0.0247596,-0.0435239,-0.0272463,0.00464034,-0.0183966,-0.0042771,-0.00169937,0.00118534,0.000026,-0.00111719,0.00461814,0.00149321,0.00237526,0.000291258,-0.0029555,0.000591819,-0.00444069,0.000087,0.000787419
1,1.8,4,20.461,-20.8731,-1.67897,-8.72307,-0.0052,0.02475,0.041,73.8,-0.0772468,-0.000349167,0.000348819,-0.0204299,-0.00125583,-0.0333643,0.00582354,-0.00977841,-0.00425286,-0.00278764,0.00116206,-0.000353848,-0.000641479,0.00410694,0.00213855,0.00309586,0.000502177,-0.00275167,0.000110155,-0.00415699,-0.000093,0.000939901
1,1.8,5,20.4759,20.3588,-1.66409,32.5088,-0.00522,-0.0981,0.03,54,0.200265,-0.000247836,-0.000281612,-0.0282185,-0.00197612,0.0073231,0.00545609,-0.00965728,-0.00294741,-0.00247585,0.00135037,0.000362055,-0.00058453,0.00330885,0.00226306,0.00310444,-0.00001,-0.00251937,0.000385864,-0.00486955,-0.000023,0.000941376
2,0.75,1,-0.174406,1.18887,-22.4644,-35.8411,-0.0678,0.10972,0.135,101.25,0.146656,-0.00110501,-0.000326191,-0.0841431,0.000655882,-0.103171,-0.00316719,-0.0295833,-0.0188624,-0.00408799,0.000887024,0.000657137,-0.00265568,0.0110644,0.00588785,0.00601922,0.000992188,-0.00508215,0.000615214,-0.011346,-0.000554398,0.00279668
2,0.75,2,-20.7891,21.8164,-43.0791,-15.2136,-0.13033,0.04902,0.124,93,-0.227823,-0.000792533,-0.000135188,-0.0716113,0.0085202,-0.0917806,-0.000739242,-0.0434173,-0.011786,-0.00250275,0.00181597,0.000249384,-0.00223424,0.0111639,0.00277492,0.00621738,0.00101481,-0.00661023,0.00179816,-0.0119471,-0.000237881,0.00255544
2,0.75,3,-20.8327,-19.519,-43.1227,-56.549,-0.12943,0.16913,0.13,97.5,-1.47679,-0.000503132,-0.00294186,-0.102617,-0.00366691,-0.0767939,-0.0172652,-0.0374199,-0.0241795,0.0022248,0.000834982,0.00123954,-0.00276886,0.0124202,0.00487286,0.00633876,-0.000482614,-0.00685623,0.00114028,-0.0115489,0.00110643,0.00273958
2,0.75,4,20.4499,-19.4862,-1.84011,-56.5162,-0.00561,0.16964,0.135,101.25,-1.55981,-0.00103008,-0.0015924,-0.0970391,0.00100182,-0.0948852,-0.0115937,-0.0209099,-0.0270206,-0.00625138,0.0011474,0.000548322,-0.000738363,0.0103141,0.00613243,0.00653222,0.000014,-0.00610204,0.00168315,-0.0101705,-0.00123292,0.00103462
2,0.75,5,20.4624,21.8445,-1.82757,-15.1855,-0.00565,0.04944,0.127,95.25,0.285857,-0.000900837,0.000486453,-0.0621556,-0.000165261,-0.108107,0.00353962,-0.0232295,-0.0131758,-0.00640119,0.00227983,-0.000849405,-0.00172312,0.00988468,0.00506146,0.00682598,0.000333524,-0.00556828,0.000034,-0.0107693,0.000403701,0.00254877
2,0.8,1,-0.17659,0.958899,-22.4666,-36.0711,-0.0678,0.10972,0.128,102.4,0.211506,-0.00116996,-0.000071,-0.0746889,-0.00582789,-0.101183,-0.00176597,-0.0277586,-0.0177456,-0.00381898,0.000824738,0.000621352,-0.00248583,0.0103728,0.00551883,0.00564181,0.000926831,-0.00476422,0.000574769,-0.0106322,-0.000529798,0.00261475
2,0.8,2,-20.7927,21.5901,-43.0827,-15.4399,-0.13033,0.04902,0.114,91.2,-0.16013,-0.000732825,0.00021566,-0.0657394,-0.00478739,-0.084815,0.000455232,-0.0407447,-0.011098,-0.00231852,0.00169989,0.000232543,-0.00208666,0.010468,0.00260526,0.00582998,0.000949992,-0.00619753,0.00168476,-0.0111964,-0.00023339,0.00239154
2,0.8,3,-20.8372,-19.7541,-43.1272,-56.7841,-0.12943,0.16913,0.125,100,-1.30192,-0.000828646,-0.00206918,-0.0894806,-0.015682,-0.0821843,-0.0148896,-0.0351317,-0.0227426,0.00211219,0.000776051,0.00117031,-0.00258726,0.0116394,0.00456712,0.00593994,-0.000455295,-0.00642545,0.00107091,-0.0108233,0.00102813,0.00256638
2,0.8,4,20.4495,-19.7208,-1.8405,-56.7508,-0.00561,0.16964,0.13,104,-1.37299,-0.000975483,-0.00109709,-0.0841504,0.000585314,-0.0989787,-0.0095876,-0.0196045,-0.0254061,-0.00585787,0.00106697,0.000522458,-0.000692904,0.00966654,0.00574847,0.00612239,0.000012,-0.00571919,0.00157676,-0.0095332,-0.00116788,0.000966329
2,0.8,5,20.4621,21.6187,-1.82793,-15.4113,-0.00565,0.04944,0.117,93.6,0.326061,-0.000848111,0.000507915,-0.0567935,-0.000511034,-0.0999967,0.00444988,-0.02178,-0.0123982,-0.00600054,0.00213514,-0.000797494,-0.0016163,0.00926902,0.00474516,0.00639809,0.000311389,-0.00521987,0.00003,-0.0100955,0.000367741,0.00238625
2,1,1,-0.182429,0.343765,-22.4724,-36.6862,-0.0678,0.10972,0.108,108,0.329021,-0.00114297,0.000447762,-0.0506475,-0.0184284,-0.0907534,0.00117241,-0.0222575,-0.0143204,-0.00302521,0.000647672,0.000505553,-0.001983,0.00829782,0.00441995,0.00451178,0.00074115,-0.0038105,0.000454182,-0.00850069,-0.00044628,0.00208163
2,1,2,-20.8022,20.9848,-43.0922,-16.0452,-0.13033,0.04902,0.093,93,-0.0120413,-0.000647614,0.000862306,-0.0494552,-0.0311165,-0.0655075,0.00282663,-0.0326871,-0.00897493,-0.00179862,0.00135979,0.000186789,-0.00164393,0.00837588,0.00208907,0.00466295,0.000760358,-0.00496311,0.00134337,-0.00895214,-0.000214579,0.00191281
2,1,3,-20.849,-20.383,-43.139,-57.413,-0.12943,0.16913,0.115,115,-0.868684,-0.00151053,-0.000106755,-0.057098,-0.0386936,-0.087799,-0.00913484,-0.0282069,-0.0183499,0.00174479,0.000604961,0.000950172,-0.00205063,0.00930294,0.0036621,0.00475189,-0.00037021,-0.00513855,0.000853601,-0.00865223,0.000801298,0.00204544
2,1,4,20.4484,-20.3481,-1.84155,-57.3781,-0.00561,0.16964,0.115,115,-0.906901,-0.000786681,0.000007,-0.0526143,-0.000292758,-0.100871,-0.00492724,-0.0156867,-0.0204721,-0.0046822,0.000838989,0.000433031,-0.000557117,0.00772644,0.00459928,0.00489646,0.000006,-0.00457475,0.00126016,-0.00762035,-0.000958299,0.000767912
2,1,5,20.4611,21.0149,-1.82891,-16.0151,-0.00565,0.04944,0.091,91,0.386062,-0.000681048,0.00053239,-0.0421323,-0.00117121,-0.0773847,0.00598364,-0.0174291,-0.0100076,-0.00479805,0.00170456,-0.000641089,-0.00129304,0.00741752,0.00379306,0.00511549,0.000246818,-0.0041739,0.000019,-0.00807665,0.000273265,0.00190344
2,1.2,1,-0.185988,-0.0318991,-22.476,-37.0619,-0.0678,0.10972,0.095,114,0.356379,-0.00106119,0.000626789,-0.0375054,-0.0223466,-0.0807762,0.00229623,-0.0185729,-0.011987,-0.00250627,0.000536249,0.00042383,-0.0016466,0.00691122,0.00368296,0.00375975,0.000618147,-0.00317601,0.000376628,-0.00708153,-0.000384258,0.00173291
2,1.2,2,-20.808,20.6151,-43.098,-16.4149,-0.13033,0.04902,0.082,98.4,0.0497371,-0.000551449,0.00107518,-0.0395414,-0.0397931,-0.0535713,0.00360979,-0.0272854,-0.00751922,-0.00146532,0.0011314,0.000155122,-0.00135951,0.00697923,0.00174347,0.00388547,0.000632299,-0.00413441,0.00111765,-0.00745771,-0.000188958,0.00158962
2,1.2,3,-20.8562,-20.767,-43.1462,-57.797,-0.12943,0.16913,0.108,129.6,-0.634478,-0.0016959,0.000736604,-0.0401588,-0.0455179,-0.0845323,-0.0061976,-0.0235562,-0.0153616,0.00148198,0.000495184,0.000800004,-0.00169677,0.00774693,0.00305426,0.00396066,-0.000312979,-0.00428188,0.000709936,-0.00720709,0.000656938,0.00169833
2,1.2,4,20.4478,-20.7313,-1.84222,-57.7613,-0.00561,0.16964,0.104,124.8,-0.657517,-0.000660626,0.000458086,-0.0363088,-0.000634258,-0.0952372,-0.00270301,-0.0130749,-0.0171279,-0.00389715,0.000692761,0.000368242,-0.000465858,0.00643338,0.00383298,0.00407867,0.000007,-0.00380926,0.00104715,-0.00635008,-0.000809419,0.000637508
